name|link|info|price
Huawei Nova 9 SE 8/128GB (полночный черный)|https://shop.mts.by//phones/huawei/huawei-nova-9-se-8-128gb-black/|"2 SIM-картыДиагональ: 6.78 ""Камера: 108 МпАКБ: 4000 mAhОЗУ: 8 Гб"|от52руб./мес.от969руб.
Huawei P50 Pro 8/256Gb (матовый черный)|https://shop.mts.by//phones/huawei/huawei-p50-pro-8-256gb-black/|"Диагональ: 6.6 ""Камера: 50 МпАКБ: 4360 mAhОЗУ: 8 Гб"|от145руб./мес.от2999.00руб.
Huawei Nova Y70 4/64GB (голубой кристалл)|https://shop.mts.by//phones/huawei/huawei-nova-y70-4-64gb-blue/|"2 SIM-картыДиагональ: 6.75 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от22руб./мес.от499.00руб.
Huawei Nova Y70 4/128GB (полночный черный)|https://shop.mts.by//phones/huawei/huawei-nova-y70-4-128gb-black/|"2 SIM-картыДиагональ: 6.75 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от26руб./мес.от599.00руб.
Huawei Nova Y70 4/64GB (полночный черный)|https://shop.mts.by//phones/huawei/huawei-nova-y70-4-64gb-black/|"2 SIM-картыДиагональ: 6.75 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от22руб./мес.от499.00руб.
Huawei Nova 9 SE 8/128GB (голубой кристалл)|https://shop.mts.by//phones/huawei/huawei-nova-9-se-8-128gb-blue/|"2 SIM-картыДиагональ: 6.78 ""Камера: 108 МпАКБ: 4000 mAhОЗУ: 8 Гб"|от52руб./мес.от969руб.
Huawei Nova 8i 6/128GB (звездное небо)|https://shop.mts.by//phones/huawei/huawei-nova-8i-6-128gb-blue/|"Диагональ: 6.67 ""Камера: 64 МпАКБ: 4300 mAhОЗУ: 6 Гб"|от45руб./мес.от839руб.
Huawei Nova Y70 4/128GB (голубой кристалл)|https://shop.mts.by//phones/huawei/huawei-nova-y70-4-128gb-blue/|"2 SIM-картыДиагональ: 6.75 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от26руб./мес.от599.00руб.
Huawei Nova 9 8/128GB (звездно-голубой)|https://shop.mts.by//phones/huawei/huawei-nova-9-8-128gb-blue/|"Диагональ: 6.57 ""Камера: 50 МпАКБ: 4300 mAhОЗУ: 8 Гб"|от67руб./мес.от1379руб.
Huawei Nova 9 SE 8/128GB (полночный черный)|https://shop.mts.by//phones/huawei/huawei-nova-9-se-8-128gb-black/|"2 SIM-картыДиагональ: 6.78 ""Камера: 108 МпАКБ: 4000 mAhОЗУ: 8 Гб"|от52руб./мес.от969руб.
Huawei P50 Pro 8/256Gb (матовый черный)|https://shop.mts.by//phones/huawei/huawei-p50-pro-8-256gb-black/|"Диагональ: 6.6 ""Камера: 50 МпАКБ: 4360 mAhОЗУ: 8 Гб"|от145руб./мес.от2999.00руб.
Huawei Nova Y70 4/64GB (голубой кристалл)|https://shop.mts.by//phones/huawei/huawei-nova-y70-4-64gb-blue/|"2 SIM-картыДиагональ: 6.75 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от22руб./мес.от499.00руб.
Huawei Nova Y70 4/128GB (полночный черный)|https://shop.mts.by//phones/huawei/huawei-nova-y70-4-128gb-black/|"2 SIM-картыДиагональ: 6.75 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от26руб./мес.от599.00руб.
Huawei Nova Y70 4/64GB (полночный черный)|https://shop.mts.by//phones/huawei/huawei-nova-y70-4-64gb-black/|"2 SIM-картыДиагональ: 6.75 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от22руб./мес.от499.00руб.
Huawei Nova 9 SE 8/128GB (голубой кристалл)|https://shop.mts.by//phones/huawei/huawei-nova-9-se-8-128gb-blue/|"2 SIM-картыДиагональ: 6.78 ""Камера: 108 МпАКБ: 4000 mAhОЗУ: 8 Гб"|от52руб./мес.от969руб.
Huawei Nova 8i 6/128GB (звездное небо)|https://shop.mts.by//phones/huawei/huawei-nova-8i-6-128gb-blue/|"Диагональ: 6.67 ""Камера: 64 МпАКБ: 4300 mAhОЗУ: 6 Гб"|от45руб./мес.от839руб.
Huawei Nova Y70 4/128GB (голубой кристалл)|https://shop.mts.by//phones/huawei/huawei-nova-y70-4-128gb-blue/|"2 SIM-картыДиагональ: 6.75 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от26руб./мес.от599.00руб.
Huawei Nova 9 8/128GB (звездно-голубой)|https://shop.mts.by//phones/huawei/huawei-nova-9-8-128gb-blue/|"Диагональ: 6.57 ""Камера: 50 МпАКБ: 4300 mAhОЗУ: 8 Гб"|от67руб./мес.от1379руб.
Huawei Nova 9 SE 8/128GB (полночный черный)|https://shop.mts.by//phones/huawei/huawei-nova-9-se-8-128gb-black/|"2 SIM-картыДиагональ: 6.78 ""Камера: 108 МпАКБ: 4000 mAhОЗУ: 8 Гб"|от52руб./мес.от969руб.
Huawei P50 Pro 8/256Gb (матовый черный)|https://shop.mts.by//phones/huawei/huawei-p50-pro-8-256gb-black/|"Диагональ: 6.6 ""Камера: 50 МпАКБ: 4360 mAhОЗУ: 8 Гб"|от145руб./мес.от2999.00руб.
Huawei Nova Y70 4/64GB (голубой кристалл)|https://shop.mts.by//phones/huawei/huawei-nova-y70-4-64gb-blue/|"2 SIM-картыДиагональ: 6.75 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от22руб./мес.от499.00руб.
Huawei Nova Y70 4/128GB (полночный черный)|https://shop.mts.by//phones/huawei/huawei-nova-y70-4-128gb-black/|"2 SIM-картыДиагональ: 6.75 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от26руб./мес.от599.00руб.
Huawei Nova Y70 4/64GB (полночный черный)|https://shop.mts.by//phones/huawei/huawei-nova-y70-4-64gb-black/|"2 SIM-картыДиагональ: 6.75 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от22руб./мес.от499.00руб.
Huawei Nova 9 SE 8/128GB (голубой кристалл)|https://shop.mts.by//phones/huawei/huawei-nova-9-se-8-128gb-blue/|"2 SIM-картыДиагональ: 6.78 ""Камера: 108 МпАКБ: 4000 mAhОЗУ: 8 Гб"|от52руб./мес.от969руб.
Huawei Nova 8i 6/128GB (звездное небо)|https://shop.mts.by//phones/huawei/huawei-nova-8i-6-128gb-blue/|"Диагональ: 6.67 ""Камера: 64 МпАКБ: 4300 mAhОЗУ: 6 Гб"|от45руб./мес.от839руб.
Huawei Nova Y70 4/128GB (голубой кристалл)|https://shop.mts.by//phones/huawei/huawei-nova-y70-4-128gb-blue/|"2 SIM-картыДиагональ: 6.75 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от26руб./мес.от599.00руб.
Huawei Nova 9 8/128GB (звездно-голубой)|https://shop.mts.by//phones/huawei/huawei-nova-9-8-128gb-blue/|"Диагональ: 6.57 ""Камера: 50 МпАКБ: 4300 mAhОЗУ: 8 Гб"|от67руб./мес.от1379руб.
Huawei Nova 9 SE 8/128GB (полночный черный)|https://shop.mts.by//phones/huawei/huawei-nova-9-se-8-128gb-black/|"2 SIM-картыДиагональ: 6.78 ""Камера: 108 МпАКБ: 4000 mAhОЗУ: 8 Гб"|от52руб./мес.от969руб.
Huawei P50 Pro 8/256Gb (матовый черный)|https://shop.mts.by//phones/huawei/huawei-p50-pro-8-256gb-black/|"Диагональ: 6.6 ""Камера: 50 МпАКБ: 4360 mAhОЗУ: 8 Гб"|от145руб./мес.от2999.00руб.
Huawei Nova Y70 4/64GB (голубой кристалл)|https://shop.mts.by//phones/huawei/huawei-nova-y70-4-64gb-blue/|"2 SIM-картыДиагональ: 6.75 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от22руб./мес.от499.00руб.
Huawei Nova Y70 4/128GB (полночный черный)|https://shop.mts.by//phones/huawei/huawei-nova-y70-4-128gb-black/|"2 SIM-картыДиагональ: 6.75 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от26руб./мес.от599.00руб.
Huawei Nova Y70 4/64GB (полночный черный)|https://shop.mts.by//phones/huawei/huawei-nova-y70-4-64gb-black/|"2 SIM-картыДиагональ: 6.75 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от22руб./мес.от499.00руб.
Huawei Nova 9 SE 8/128GB (голубой кристалл)|https://shop.mts.by//phones/huawei/huawei-nova-9-se-8-128gb-blue/|"2 SIM-картыДиагональ: 6.78 ""Камера: 108 МпАКБ: 4000 mAhОЗУ: 8 Гб"|от52руб./мес.от969руб.
Huawei Nova 8i 6/128GB (звездное небо)|https://shop.mts.by//phones/huawei/huawei-nova-8i-6-128gb-blue/|"Диагональ: 6.67 ""Камера: 64 МпАКБ: 4300 mAhОЗУ: 6 Гб"|от45руб./мес.от839руб.
Huawei Nova Y70 4/128GB (голубой кристалл)|https://shop.mts.by//phones/huawei/huawei-nova-y70-4-128gb-blue/|"2 SIM-картыДиагональ: 6.75 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от26руб./мес.от599.00руб.
Huawei Nova 9 8/128GB (звездно-голубой)|https://shop.mts.by//phones/huawei/huawei-nova-9-8-128gb-blue/|"Диагональ: 6.57 ""Камера: 50 МпАКБ: 4300 mAhОЗУ: 8 Гб"|от67руб./мес.от1379руб.
Huawei Nova 9 SE 8/128GB (полночный черный)|https://shop.mts.by//phones/huawei/huawei-nova-9-se-8-128gb-black/|"2 SIM-картыДиагональ: 6.78 ""Камера: 108 МпАКБ: 4000 mAhОЗУ: 8 Гб"|от52руб./мес.от969руб.
Huawei P50 Pro 8/256Gb (матовый черный)|https://shop.mts.by//phones/huawei/huawei-p50-pro-8-256gb-black/|"Диагональ: 6.6 ""Камера: 50 МпАКБ: 4360 mAhОЗУ: 8 Гб"|от145руб./мес.от2999.00руб.
Huawei Nova Y70 4/64GB (голубой кристалл)|https://shop.mts.by//phones/huawei/huawei-nova-y70-4-64gb-blue/|"2 SIM-картыДиагональ: 6.75 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от22руб./мес.от499.00руб.
Huawei Nova Y70 4/128GB (полночный черный)|https://shop.mts.by//phones/huawei/huawei-nova-y70-4-128gb-black/|"2 SIM-картыДиагональ: 6.75 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от26руб./мес.от599.00руб.
Huawei Nova Y70 4/64GB (полночный черный)|https://shop.mts.by//phones/huawei/huawei-nova-y70-4-64gb-black/|"2 SIM-картыДиагональ: 6.75 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от22руб./мес.от499.00руб.
Huawei Nova 9 SE 8/128GB (голубой кристалл)|https://shop.mts.by//phones/huawei/huawei-nova-9-se-8-128gb-blue/|"2 SIM-картыДиагональ: 6.78 ""Камера: 108 МпАКБ: 4000 mAhОЗУ: 8 Гб"|от52руб./мес.от969руб.
Huawei Nova 8i 6/128GB (звездное небо)|https://shop.mts.by//phones/huawei/huawei-nova-8i-6-128gb-blue/|"Диагональ: 6.67 ""Камера: 64 МпАКБ: 4300 mAhОЗУ: 6 Гб"|от45руб./мес.от839руб.
Huawei Nova Y70 4/128GB (голубой кристалл)|https://shop.mts.by//phones/huawei/huawei-nova-y70-4-128gb-blue/|"2 SIM-картыДиагональ: 6.75 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от26руб./мес.от599.00руб.
Huawei Nova 9 8/128GB (звездно-голубой)|https://shop.mts.by//phones/huawei/huawei-nova-9-8-128gb-blue/|"Диагональ: 6.57 ""Камера: 50 МпАКБ: 4300 mAhОЗУ: 8 Гб"|от67руб./мес.от1379руб.
Huawei Nova 9 SE 8/128GB (полночный черный)|https://shop.mts.by//phones/huawei/huawei-nova-9-se-8-128gb-black/|"2 SIM-картыДиагональ: 6.78 ""Камера: 108 МпАКБ: 4000 mAhОЗУ: 8 Гб"|от52руб./мес.от969руб.
Huawei P50 Pro 8/256Gb (матовый черный)|https://shop.mts.by//phones/huawei/huawei-p50-pro-8-256gb-black/|"Диагональ: 6.6 ""Камера: 50 МпАКБ: 4360 mAhОЗУ: 8 Гб"|от145руб./мес.от2999.00руб.
Huawei Nova Y70 4/64GB (голубой кристалл)|https://shop.mts.by//phones/huawei/huawei-nova-y70-4-64gb-blue/|"2 SIM-картыДиагональ: 6.75 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от22руб./мес.от499.00руб.
Huawei Nova Y70 4/128GB (полночный черный)|https://shop.mts.by//phones/huawei/huawei-nova-y70-4-128gb-black/|"2 SIM-картыДиагональ: 6.75 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от26руб./мес.от599.00руб.
Huawei Nova Y70 4/64GB (полночный черный)|https://shop.mts.by//phones/huawei/huawei-nova-y70-4-64gb-black/|"2 SIM-картыДиагональ: 6.75 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от22руб./мес.от499.00руб.
